Polish,Ukrainian
utrzymane,підтриманий
szkła,окуляри
trawka,трава
krowa,корова
praca,Працювати
krawędź,обрізати
znak,підписувати
wizyta,відвідувати
przeszłość,минулий
miękkie,м'який
zabawy,веселий
jasny,яскравий
gaz,газовий
pogoda,вигадка
miesiąc,місяць
milion,мільйон
niedźwiedź,несучий
wykończenie,закінчити
szczęśliwy,щасливий
nadzieję,надія
kwiat,квітка
odziać,одяг
dziwny,дивний
Odszedł,Він пішов
handel,торгувати
melodia,мелодія
wycieczka,поїздка
biuro,офіс
otrzymać,отримати
wiersz,рядок
usta,рота
dokładny,точний
symbol,символ
śmierć,смерть
najmniej,найменший
kłopot,клопот
krzyk,кричати
z wyjątkiem,за винятком
napisał,він написав
nasion,насіння
ton,тон
dołączyć,прикріплювати
"sugerują,",пропонувати
czyste,чіткий
przerwa,перерва
pani,ви
stoczni,верфі
wzrosnąć,збільшити
zły,поганий
cios,удар
olej,нафта
krwi,кров
dotknąć,торкатися
wzrosła,збільшений
centów,центи
mix,суміш
zespół,команда
drut,дротя
koszt,Вартість
stracony,загублений
brązowy,коричневий
nosić,носити
ogród,сад
równy,рівний
wysłany,надісланий
wybrać,вибирати
spadła,упав
pasować,підходити
płynąć,плавати
sprawiedliwy,справедливий
Bank,Банкнота
zbierać,збирати
oszczędzać,зберегти
kontrola,КОНТРОЛЬ
dziesiętny,десятковий
ucho,вуха
więcej,більше
całkiem,досить
złamał,Він зламався
sprawa,річ
średniej,середній
zabić,убити
syn,син
jezioro,озеро
chwilę,моменти
skala,масштаб
głośno,гучно
wiosna,весна
obserwować,спостерігати
dziecko,діло
prosto,прямо
spółgłoska,приголосний
naród,нація
Słownik,Словник
mleko,молоко
prędkość,швидкість
metoda,метод
narząd,орган
płacić,оплачувати
wiek,вік
sekcja,розділ
sukienka,плаття
chmura,хмара
niespodzianka,здивувати
cichy,спокійно
kamień,камінь
małe,невеликий
wznoszenia,ерекція
chłodny,крутий
projekt,дизайн
słaba,слабкий
wiele,багато
eksperyment,експеримент
dolny,дно
klucz,ключ
żelaza,прасувати
pojedynczy,поодинокий
kij,палиця
mieszkanie,квартира
dwadzieścia,двадцять
skóra,шкіра
uśmiech,посміхатися
marszczyć,пульсація
otwór,дірка
skok,стрибати
dziecko,діло
osiem,вісім
wieś,село
spotkać,зустрічатися
korzeń,корінь
kupić,купити
podnieść,підбирати
rozwiązania,рішення
metalu,метал
czy,Чи
pchnięcie,штовхнути
siedem,сім
pkt,точка
trzeci,третій
powinien,слід
held,Утримується
włosy,волосся
opisania,опис
kucharz,готувати
piętro,підлога
albo,або
wynik,результат
palić,спалювати
wzgórzu,пагорб
bezpieczne,безпечний
kot,кіт
wiek,вік
rozważać,вважати
Typ,Тип
prawo,закон
kawałek,шматок
Wybrzeże,узбережжя
kopia,копіювати
Zwrot,Повернення
cichy,спокійно
wysoki,високий
piasek,пісок
gleby,грунт
rolki,рулони
temperatura,температура
palec,палець
przemysł,промисловість
wartość,цінність
walka,бити
kłamstwo,лежати
pokonać,поразка
podniecać,збуджувати
naturalne,природний
widok,переглянути
poczucie,відчуття
kapitał,капітал
nie będzie,я не буду
krzesło,крісло
niebezpieczeństwo,небезпека
owoc,фрукти
bogaty,багатий
gruby,жир
żołnierz,солдат
proces,обробка
pracować,працювати
praktyka,практикувати
oddzielne,окремо
trudne,важкий
lekarz,лікар
proszę,Будь ласка
ochrony,захист
południe,південь
upraw,урожай
nowoczesny,сучасний
elementu,елемент
uderzać,вдарити
uczeń,студент
narożnik,куточок
strona,бік
Zasilanie,Живлення
którego,чиї
lokalizować,знаходити
pierścień,каблучка
znaków,знаки
owad,комаха
złapany,спійманий
okres,період
"wskazują,",вказувати
Radio,Радіо
zabrał,взяв
atom,атом
ludzki,людський
Historia,Історія
efekt,ефект
elektryczny,електричний
oczekiwać,очікувати
kości,кістки
szyna,залізничний
wyobrazić,уявляти собі
zapewniać,надати
zgadzam się,я згоден
tak więc,Таким чином
łagodny,помірний
kobieta,жінка
kapitan,капітан
odgadnąć,здогадуватися
konieczne,необхідний
ostry,гострий
skrzydło,крила
stworzenia,істоти
sąsiad,сусід
myjnia,промивати
nietoperz,кажан
raczej,скоріше
tłum,натовп
kukurydza,кукурудза
porównanie,порівняння
poemat,вірш
sznur,шнур
dzwon,дзвоник
zależy,залежить
mięso,м'ясо
trzeć,потерти
rurka,трубка
słynny,відомий
dolar,долар
strumień,потік
strach,битися
widok,переглянути
cienki,тонкий
trójkąt,трикутник
planeta,планета
pospiesz,поспішати
szef,бос
kolonia,Одеколон
Zegary,Годинник
kopalnia,Шахта
krawat,зав'язувати
wejść,увійти
głównym,Головний
świeży,свіжий
szukaj,обшук
wyślij,надсилати
żółty,жовтий
pistolet,рушниця
dopuszczać,дозволяти
drukuj,друкувати
martwy,мертвий
miejsce,місце
pustynia,пустеля
garnitur,костюм
aktualny,поточний
wyciąg,витяг
róża,троянда
przyjazd,прибуття
mistrz,майстер
tor,трек
rodzic,батько
brzeg,обрізати
podział,дивізіон
arkusz,аркуш
substancja,речовина
faworyzować,користь
podłącz,з'єднувати
po,після
wydać,витрачати
akord,акорд
tłuszcz,жир
zadowolony,зміст
oryginalny,оригінальний
akcji,дії
Stacja,Станція
tata,тато
chleb,хліб
naładować,заряджати
właściwy,відповідний
bar,бар
oferta,пропозиція
Segment,Сегмент
niewolnik,раб
kaczka,качка
błyskawicznej,швидкий
rynku,ринок
stopień,ступінь
wypełnić,заповнити
pisklę,курча
drogi,Дорогий
wróg,ворог
odpowiedz,відповідати
pić,пити
występują,виникати
wsparcie,підтримка
mowy,промова
natura,природа
zakres,діапазон
parowy,пара
ruch,рух
ścieżka,шлях
ciecz,рідкий
zaloguj,Увійти
oznaczało,орієнтований
iloraz,коефіцієнт
zęby,До
powłoki,покриття
szyi,шия
tlenu,кисень
cukier,цукор
śmierć,смерть
dość,достатньо
umiejętność,навичка
kobiety,жінки
sezon,сезон
rozwiązanie,розчин
magnes,магніт
srebrny,срібний
dziękuję,Дякую
gałęzi,гілки
mecz,грі
przyrostek,суфікс
szczególnie,особливо
figa,рис
boi,плавучий
ogromny,величезний
siostra,сестра
stal,сталь
omówić,обговорювати
do przodu,вперед
podobne,схожий
przewodnik,керівництво
doświadczenie,досвід
wynik,результат
jabłko,яблук
kupiony,куплений
doprowadziło,світлодіодний
boisko,поле
płaszcz,покриття
masa,маса
karta,карта
zespół,команда
lina,мотузка
poślizgu,ковзати
zwycięstwo,перемога
śnić,мріяти
wieczorem,Ввечері
Stan,Держави
RSS,RSS
narzędzie,інструмент
całkowity,загальний
podstawowy,основний
zapach,запах
dolina,долина
ani,або
podwójne,подвійний
siedziba,штаб
dalej,наступний
blok,Одиниця
wykres,графік
kapelusz,шапка
sprzedać,продавати
sukces,успіх
firma,бізнес
odejmowanie,віднімання
wydarzenie,подія
szczególności,зокрема
sprawa,річ
pływać,плавати
termin,термін
naprzeciwko,навпроти
żona,дружина
buty,Взуття
ramię,рукоятка
spread,поширення
zorganizować,організовувати
obóz,табір
wymyślać,вигадувати
bawełna,бавовняний
Urodzony,Народжений
określenia,визначення
kwarta,чверть
dziewięć,дев'ять
ciężarówka,вантажівка
hałas,шум
poziom,рівень
szansa,шанс
zbierać,збирати
Sklep,Магазин
odcinek,епізод
rzucać,кидати
połysk,глос
właściwość,майно
kolumna,стовпчик
cząsteczka,молекула
wybierać,вибирати
nie tak,не так
szary,сірий
powtórz,повторити
wymagać,вимагати
szeroki,широкий
przygotować,готуватися
sól,соляна
nos,ніс
liczba mnoga,множина
złość,гнів
oświadczenie,заява
kontynent,континент
